                               TELEFONES FÓRUNS E OAB DA REGIÃO - VALE DO RIBEIRA 
COMARCA               SETOR                   TELEFONE
REGISTRO           ADM INISTRAÇÃO PESSOAL                       (13) 2130-5902
REGISTRO           ADM INISTRAÇÃO ATENDIM ENTO                    (13) 2130-5922
REGISTRO           CEJUSC - ATENDIM ENTO                        (13) 2130-5910
REGISTRO           CEJUSC - AUDIÊNCIA                          (13) 2130-5915
REGISTRO           1º OFÍCIO CRIM INAL/JÚRI                       (13) 2130-5903
REGISTRO           1º OFÍCIO CÍVEL                            (13) 2130-5913
REGISTRO           2º OFÍCIO CORREGEDORIA EXTRAJUDICIAL                (13) 2130-5907
REGISTRO           2º OFÍCIO CÍVEL                            (13) 2130-5905
REGISTRO           3º OFÍCIO CÍVEL                            (13) 2130-5904
REGISTRO           3º OFÍCIO CRIM INAL                          (13) 2130-5906
REGISTRO           3º OFÍCIO INFÂNCIA                          (13) 2130-5908
REGISTRO           JUIZADO CÍVEL                             (13) 2130-5912
REGISTRO           JUIZADO CRIM INAL                          (13) 2130-5918
REGISTRO           JUIZADO CÍVEL E CRIM INAL - ATENDIM ENTO               (13) 2130-5914
REGISTRO           CENTRAL DE M ANDADOS                        (13) 2130-5921
REGISTRO           CENTRAL DE M ANDADOS/OFICIAIS                   (13) 2130-5923
REGISTRO           COLÉGIO RECURSAL                          (13) 2130-5916
----------------Page (2) Break----------------
REGISTRO           SEÇÃO DE DISTRIBUIÇÃO                        (13) 2130-5917
REGISTRO           SETOR DE EXECUÇÕES FISCAIS/ADM INISTRATIVO             (13) 2130-5859
REGISTRO           SETOR DE EXECUÇÕES FISCAIS/ARQUIVAM ENTO             (13) 2130-5851
REGISTRO           SETOR TÉCNICO - ASSISTENTE SOCIAL             (13) 2130-5853 OU (13) 2130-5854
REGISTRO           SETOR TÉCNICO - PSICÓLOGA                 (13) 2130-5857 OU (13) 2130-5858
REGISTRO           DPESP - Regional                           (13) 2130-5200
REGISTRO           1º OFÍCIO EXECUÇÃO CRIM INAL                    (13) 2130-5911
REGISTRO           2º OFÍCIO CRIM INAL                          (13) 2130-5909
REGISTRO           SETOR DE EXECUÇÕES FISCAIS/ATENDIM ENTO              (13) 2130-5852
REGISTRO           SETOR DE INFORM ÁTICA                        (13) 2130-5856
REGISTRO           JUIZADO ESPECIAL FEDERAL - OFICIAL DE GABINETE           (13) 3828-1825
REGISTRO           JUIZADO ESPECIAL FEDERAL - DIRETOR DE SECRETARIA          (13) 3828-1824
REGISTRO           JUIZADO ESPECIAL FEDERAL - Supervisão Adm inistrativa         (13) 3828-1816
REGISTRO           JUIZADO ESPECIAL FEDERAL - Auxiliar da Telefonista           (13) 3828-1801 
REGISTRO           JUIZADO ESPECIAL FEDERAL - Execuções Fiscais             (13) 3828-1820
REGISTRO           JUIZADO ESPECIAL FEDERAL - Execuções Crim inais            (13) 3828-1829
REGISTRO           JUIZADO ESPECIAL FEDERAL - Execuções Diversas            (13) 3828-1828
REGISTRO           JUIZADO ESPECIAL FEDERAL - Oficiais de Justiça             (13) 3828-1827
REGISTRO           JEF                                  (13) 3828-1810
REGISTRO           JUIZADO ESPECIAL FEDERAL - Protocolo/Distribuição           (13) 3828-1822
REGISTRO           JUIZADO ESPECIAL FEDERAL - Contadoria                (13) 3828-1834
REGISTRO           JUIZADO ESPECIAL - SALA DA OAB                   (13) 3828-1841 
REGISTRO           JUIZADO ESPECIAL FEDERAL - Portaria                  (13) 3828-1840
REGISTRO           JUIZADO ESPECIAL FEDERAL - Atendim ento               (13) 3828-1805
REGISTRO           JUSTIÇA DO TRABALHO                         (13) 3821-4635
----------------Page (3) Break----------------
